ID,state,temperature_avg,CDD,GDD,HDD,temperature_max,temperature_min,precipitation,snow_depth,snow_fall,sunlight_svm,sunlight_reg,crop,productions_spring,harvested_spring,cultivated_spring,productions_winter,harvested_winter,cultivated_winter
1866-01,AR,42.09691512,2.067336419,56.54870482,704.2444475,69.50781789,12.97733839,5.48234612,2.492260116,3.182929306,,,Rice,,,,,,
1866-02,AR,44.82711227,2.384053785,63.23580159,563.0097026,72.70841131,16.92258446,3.724373311,0.783321059,0.961398961,,,Rice,,,,,,
1866-03,AR,52.75007756,15.3228192,181.1328835,387.2020831,79.22619751,27.13148413,4.57405146,0.81000232,1.009063922,,,Rice,,,,,,
1866-04,AR,62.62287542,67.68932007,393.9213943,131.7558316,86.1126186,37.93272924,5.156013967,0,0.005452372,,,Rice,,,,,,
1866-05,AR,69.55235111,176.4974966,613.3141477,27.88438557,88.57489987,48.35239995,4.760687198,0,0,,,Rice,,,,,,
1866-06,AR,77.27365229,376.8871352,825.3371992,1.54993598,94.59149184,58.69482337,4.144326334,0,0.001253799,,,Rice,,,,,,
1866-07,AR,80.38884187,484.6889063,949.6889063,0,97.08595437,64.02252699,3.461545919,0,0,,,Rice,,,,,,
1866-08,AR,79.30553117,451.1176942,915.9531609,0.164533264,96.353814,61.99536747,3.62462102,0,0,,,Rice,,,,,,
1866-09,AR,73.90630007,286.5390892,724.3897597,12.1493295,93.45833333,50.90768896,3.21505016,0,0,,,Rice,,,,,,
1866-10,AR,63.71345437,89.25174155,437.1455677,121.8136973,85.70944793,38.6995559,2.204021052,0,0,,,Rice,,,,,,
1866-11,AR,51.94096743,8.013000697,150.7072187,393.2842215,76.85973528,26.46462034,3.911623658,0.209014507,0.522866771,,,Rice,,,,,,
1866-12,AR,43.99722745,0.587574016,54.2965256,643.4528126,69.0734326,18.69252874,3.624623635,1.149072759,1.83359668,,,Rice,,,,,,
1867-01,AR,42.08935783,2.061361174,56.390131,704.4719295,69.52767655,12.99340097,5.468203437,2.484026881,3.178504897,,,Rice,,,,,,
1867-02,AR,44.82753373,2.377495767,63.2100361,563.005219,72.73298532,16.94110115,3.726391762,0.788428202,0.97537335,,,Rice,,,,,,
1867-03,AR,52.75623461,15.33202009,181.1819167,387.0201911,79.24879346,27.12631734,4.576677018,0.806025993,1.007819217,,,Rice,,,,,,
1867-04,AR,62.62099379,67.63941692,393.8535408,131.7605141,86.11277455,37.91805378,5.158150735,0,0.005489477,,,Rice,,,,,,
1867-05,AR,69.56218359,176.7647001,613.6243967,27.84477494,88.59800059,48.34167241,4.764123718,0,0,,,Rice,,,,,,
